CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG519077,11/27/2023 06:59:00 AM,030XX N KOSTNER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2523,31,06,1146522,1919767,41.935819737,-87.736934192,"(41.935819737, -87.736934192)"
JG431714,09/14/2023 06:00:00 PM,045XX S DREXEL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,221,4,14,1182955,1875110,41.812505323,-87.604434996,"(41.812505323, -87.604434996)"
JG463161,10/09/2023 05:00:00 PM,053XX W MADISON ST,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1522,37,08A,1140577,1899501,41.880318927,-87.759281249,"(41.880318927, -87.759281249)"
JG449070,10/02/2023 12:22:00 PM,043XX W MONROE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),Y,N,1115,28,15,1147469,1899308,41.879660023,-87.73397923,"(41.879660023, -87.73397923)"
JH148390,02/11/2024 11:57:00 AM,087XX S EXCHANGE AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,Y,N,423,10,26,1197280,1847686,41.736906763,-87.55280491,"(41.736906763, -87.55280491)"
JH305153,06/13/2024 04:00:00 PM,007XX S ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1134,24,14,1155812,1896671,41.87225986,-87.703415828,"(41.87225986, -87.703415828)"
JH156884,02/18/2024 02:16:00 PM,013XX W 81ST ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,613,17,04A,1168640,1851048,41.746797431,-87.657635764,"(41.746797431, -87.657635764)"
JH247658,04/30/2024 10:30:00 AM,069XX N SHERIDAN RD,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,2431,49,03,1166816,1946103,42.007674968,-87.661593317,"(42.007674968, -87.661593317)"
JG503905,11/10/2023 12:55:00 PM,016XX E 56TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,235,5,11,1188074,1868190,41.793395687,-87.585879509,"(41.793395687, -87.585879509)"
JH114749,01/11/2024 10:00:00 AM,051XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,Y,2031,40,08A,1156765,1934163,41.975121537,-87.698898525,"(41.975121537, -87.698898525)"
JH308712,05/01/2024 12:00:00 AM,078XX S PAULINA ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,N,Y,611,17,26,1166374,1852698,41.751373795,-87.66589208,"(41.751373795, -87.66589208)"
JH146152,02/09/2024 01:04:00 PM,008XX E 91ST ST,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,Y,N,633,8,18,1183289,1844814,41.729362434,-87.60415205,"(41.729362434, -87.60415205)"
JH126800,01/24/2024 04:34:00 PM,007XX S SEELEY AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,N,N,1225,28,26,1162843,1896924,41.872809625,-87.677594883,"(41.872809625, -87.677594883)"
JH126307,01/18/2024 05:00:00 PM,085XX S LOWE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,N,Y,622,21,04A,1173460,1848156,41.738756183,-87.640059467,"(41.738756183, -87.640059467)"
JG507180,11/16/2023 08:10:00 PM,064XX N SHERIDAN RD,1330,CRIMINAL TRESPASS,TO LAND,COLLEGE / UNIVERSITY - RESIDENCE HALL,Y,N,2432,49,26,1167092,1943043,41.999272329,-87.660666313,"(41.999272329, -87.660666313)"
JH222219,04/12/2024 11:25:00 AM,056XX W WASHINGTON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1513,29,08A,1138793,1900186,41.882231214,-87.765815373,"(41.882231214, -87.765815373)"
JH106063,01/05/2024 09:12:00 PM,023XX W MADISON ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,Y,1223,27,08A,1160781,1899960,41.881183664,-87.685081252,"(41.881183664, -87.685081252)"
JG470461,10/19/2023 03:00:00 PM,016XX W 82ND ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,614,17,26,1166875,1850337,41.744884198,-87.664123445,"(41.744884198, -87.664123445)"
