CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG513382,11/22/2023 12:00:00 AM,024XX W POLK ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,Y,1135,28,08A,1160193,1896299,41.871149707,-87.687341534,"(41.871149707, -87.687341534)"
JG512729,11/21/2023 11:27:00 AM,032XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1123,28,08B,1154633,1900797,41.88360569,-87.707634031,"(41.88360569, -87.707634031)"
JG512743,11/21/2023 11:44:00 AM,001XX W 110TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,513,9,14,1177282,1832010,41.694364039,-87.626542126,"(41.694364039, -87.626542126)"
JG482095,10/28/2023 04:00:00 AM,020XX W FARGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2424,49,14,1161568,1949266,42.016465687,-87.680813065,"(42.016465687, -87.680813065)"
JH117691,01/16/2024 06:50:00 PM,010XX W 99TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2232,21,15,1170976,1839080,41.713904887,-87.649424515,"(41.713904887, -87.649424515)"
JG522770,11/30/2023 07:28:00 AM,034XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,Y,N,1121,27,18,1153117,1905117,41.895490399,-87.713086271,"(41.895490399, -87.713086271)"
JG560426,12/31/2023 12:55:00 AM,0000X W GRAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1831,42,15,1175975,1903895,41.891653037,-87.62917162,"(41.891653037, -87.62917162)"
JG482305,10/28/2023 01:00:00 PM,082XX S SPAULDING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,834,18,26,1155815,1849842,41.743754724,-87.704662463,"(41.743754724, -87.704662463)"
JH123778,01/06/2024 12:50:00 PM,055XX S ASHLAND AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,713,16,11,1166617,1867978,41.79329893,-87.66456619,"(41.79329893, -87.66456619)"
JG484516,10/28/2023 11:00:00 AM,004XX N LA SALLE DR,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1831,42,05,1175063,1903150,41.889629205,-87.632543289,"(41.889629205, -87.632543289)"
JG482490,10/28/2023 12:30:00 PM,075XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,N,N,411,8,06,1188234,1855158,41.757630995,-87.585708249,"(41.757630995, -87.585708249)"
JG496777,11/08/2023 04:15:00 PM,009XX S KEDZIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,Y,1134,24,07,1155176,1895737,41.86970965,-87.705775939,"(41.86970965, -87.705775939)"
